Instance;Size;#Tiles;Value;#Clauses;#Variables;TimeR;MemoryMad;TimeMad;MemoryMer;TimeMer;MemoryBFS;TIMEBFS
58;9;6;2;727;248;0.32;0;0.19;3624.8;742.29;6425.5;248.53
59;9;6;2;836;279;1.23;1105.1;424.86;4089.1;636.6;6421.2;64.34
60;9;6;2;834;279;0.30;1128.8;544.32;3553.5;578.14;6425.1;98.08
61;9;6;2;794;272;0.46;2051.4;1800.1;3949.8;812.25;6430.4;186.44
62;9;6;2;762;260;1.01;1842.9;1800.1;3943.1;1020.69;6429.4;181.56
63;9;6;2;771;255;0.75;0;0.21;3938.6;738.09;6421.1;74.15
64;9;6;2;712;243;0.18;1814.5;1800.11;3567.2;702.14;6427.1;1428.66
65;9;6;2;846;289;0.58;2139.2;1800.19;3768.2;731.09;6426.5;126.24
66;9;6;2;887;297;0.78;0;0.29;3938.5;672.65;6427.3;65.91
67;9;6;2;850;289;0.78;1722.5;1502.04;3709.9;665.04;6429.3;131.59
68;9;6;2;748;252;0.94;1682.2;1800.17;3678.6;726.22;6428.8;197.38
69;9;6;2;779;261;0.10;0;0.45;4089.8;663.29;6403.1;74.34
70;9;6;2;823;277;0.09;1957.8;1800.18;3601.3;639.49;6430.6;81.37
71;9;6;2;492;208;0.27;756.7;129.9;3754.1;710.55;6427;137.11
72;12;6;2;1050;352;2.08;1648.6;1800.13;3877.7;767.78;6430.3;457.88
73;12;6;2;1127;366;0.22;16.2;1.18;3631.6;525.91;6429.5;128.02
74;12;6;2;946;316;2.64;2113.1;1800.08;3719.9;896.65;6425.1;914.26
75;12;6;2;1363;442;0.54;2318.3;422.45;3834.1;520.21;6421.3;68.86
76;16;6;2;1491;484;0.06;1946.9;1800.08;3942;607.31;4007.6;1800.21
77;12;6;2;1004;337;0.89;1946;1800.13;3748.9;588.18;6426.9;1653.59
78;9;6;2;895;300;1.02;0;0.18;3802.9;613.09;6427.3;98.19
79;9;6;2;870;291;0.23;17;0.42;3673.5;609.04;6430.6;68.35
80;12;6;2;986;331;0.33;1978.5;1800.2;3675.2;733.12;4976.3;1800.24
81;9;7;2;814;289;0.75;1971.7;1800.1;3927.6;749.23;6428.4;276.26
82;12;7;2;1635;534;0.81;2300.9;645.87;3815.6;604.39;6422.7;83.84
83;12;7;2;1139;383;0.82;2049.4;1800.2;3911.5;575.87;1869.3;1800.13
84;15;7;2;2109;672;0.45;1958.4;1800.19;3995.3;614.68;6424.7;552.55
85;16;7;2;1992;638;0.40;1955.1;1800.16;3933.5;642.36;673.9;1800.08
86;12;7;2;1608;530;0.85;2425.8;1333.36;3945.9;610.63;6426.3;214.92
87;9;7;2;1020;347;0.39;1963.8;1800.09;3515.8;769.21;6422.8;1376.13
88;9;7;2;976;323;0.78;1781;1800.17;3618.3;582.7;6430.2;137.29
89;12;7;2;1478;481;0.54;2422;753.25;3691.3;791.41;5506.2;1800.23
90;12;7;2;1372;455;0.37;1959;1800.15;3714.3;932.6;6283.4;1800.26
91;12;7;2;1315;435;3.23;2341.6;1800.2;3788.6;777.98;5307.2;1800.35
92;9;7;2;1060;352;0.50;1963.1;1800.12;3889.4;762.44;6427.9;105.48
93;20;7;2;2646;824;0.98;1915.1;1800.18;3948.9;615.39;5691.9;1800.29
94;9;7;2;935;334;1.06;1801.3;1800.19;3786.4;818.76;6427.3;165.09
95;9;7;2;949;324;0.92;2315.2;847.16;3869.4;811.38;5045.1;1800.23
96;9;7;2;820;295;0.38;146;3.38;3807.1;723.86;6429.9;289.17
97;9;7;2;814;311;0.39;1958.8;1800.14;3893.4;678.33;6430.7;183.59
98;15;7;2;1786;581;0.79;1963.7;1800.1;3943.5;631.3;4956.2;1800.24
99;15;7;2;1851;601;0.87;2289;657.44;3785.7;670.93;5942.5;1800.31
100;9;7;2;1026;345;0.80;1965.4;1800.19;3655.9;688.22;6430.4;184.61
101;25;7;2;3591;1014;1.01;1917;1800.14;4089.2;592.98;624.9;1800.08
102;12;7;2;1159;405;0.28;1955.8;1800.18;3858.1;839.61;6403.8;364.64
